algo,serie,set_type,taille,temps
quick,testset_100000_1,1,100000,23.774089
quick,testset_100000_1,1,100000,14.894707
quick,testset_100000_1,1,100000,14.714677
quick,testset_100000_1,1,100000,14.445019
quick,testset_100000_1,1,100000,14.570019
quick,testset_100000_1,1,100000,14.583446
quick,testset_100000_1,1,100000,14.406765
quick,testset_100000_1,1,100000,14.467063
quick,testset_100000_1,1,100000,14.655228
quick,testset_100000_1,1,100000,14.518891
quick,testset_100000_2,2,100000,14.384630
quick,testset_100000_2,2,100000,14.530423
quick,testset_100000_2,2,100000,14.714188
quick,testset_100000_2,2,100000,14.840768
quick,testset_100000_2,2,100000,14.805445
quick,testset_100000_2,2,100000,14.523632
quick,testset_100000_2,2,100000,15.648141
quick,testset_100000_2,2,100000,14.959666
quick,testset_100000_2,2,100000,14.974062
quick,testset_100000_2,2,100000,15.135830
quick,testset_100000_3,3,100000,19.059993
quick,testset_100000_3,3,100000,18.689627
quick,testset_100000_3,3,100000,16.639782
quick,testset_100000_3,3,100000,16.952682
quick,testset_100000_3,3,100000,23.232232
quick,testset_100000_3,3,100000,18.578400
quick,testset_100000_3,3,100000,19.388778
quick,testset_100000_3,3,100000,19.883298
quick,testset_100000_3,3,100000,19.480130
quick,testset_100000_3,3,100000,19.666102
quick,testset_10000_1,1,10000,1.253908
quick,testset_10000_1,1,10000,1.255838
quick,testset_10000_1,1,10000,1.263309
quick,testset_10000_1,1,10000,1.259197
quick,testset_10000_1,1,10000,1.259658
quick,testset_10000_1,1,10000,1.266890
quick,testset_10000_1,1,10000,1.412144
quick,testset_10000_1,1,10000,1.537717
quick,testset_10000_1,1,10000,1.793645
quick,testset_10000_1,1,10000,1.730180
quick,testset_10000_2,2,10000,1.764525
quick,testset_10000_2,2,10000,1.760046
quick,testset_10000_2,2,10000,1.749127
quick,testset_10000_2,2,10000,1.720341
quick,testset_10000_2,2,10000,1.755458
quick,testset_10000_2,2,10000,1.741664
quick,testset_10000_2,2,10000,1.745023
quick,testset_10000_2,2,10000,1.735747
