taille,seuil,temps
100000,1,26.536871
100000,1,14.812174
100000,1,14.999212
100000,1,14.813005
100000,1,14.748808
100000,2,14.091416
100000,2,14.078866
100000,2,14.063546
100000,2,14.095054
100000,2,14.133409
100000,3,13.705020
100000,3,13.737916
100000,3,13.729499
100000,3,13.730318
100000,3,13.734762
100000,4,13.480872
100000,4,13.492091
100000,4,13.567729
100000,4,13.483999
100000,4,13.439862
100000,5,13.288164
100000,5,13.282667
100000,5,13.754289
100000,5,13.318924
100000,5,13.283518
100000,6,13.099157
100000,6,13.153765
100000,6,13.152248
100000,6,13.157715
100000,6,13.132184
100000,7,13.112310
100000,7,13.148371
100000,7,13.127178
100000,7,13.105916
100000,7,13.112451
100000,8,13.199998
100000,8,13.163031
100000,8,13.167519
100000,8,13.160500
100000,8,13.175963
100000,9,13.221308
100000,9,13.242534
100000,9,13.159466
100000,9,13.199427
100000,9,13.208343
100000,10,13.240153
100000,10,13.218782
100000,10,13.268616
100000,10,13.245845
100000,10,13.647468
100000,11,13.317553
100000,11,13.289409
100000,11,13.356697
100000,11,13.341275
100000,11,13.299739
100000,12,13.364942
100000,12,13.517144
100000,12,13.351098
100000,12,13.397751
100000,12,13.433704
100000,13,13.458958
100000,13,13.431323
100000,13,13.450675
100000,13,13.473475
100000,13,13.502811
100000,14,13.539992
100000,14,13.580418
100000,14,13.552803
100000,14,13.851759
100000,14,13.587586
100000,15,13.679926
100000,15,13.737243
100000,15,13.648479
100000,15,13.641417
100000,15,13.692280
100000,16,13.801312
100000,16,13.751952
100000,16,13.738796
100000,16,13.754605
100000,16,13.780653
100000,17,13.873052
100000,17,13.844551
100000,17,13.869615
100000,17,13.885316
100000,17,13.873950
100000,18,13.991987
100000,18,13.988005
100000,18,14.454342
100000,18,14.025078
100000,18,14.005592
100000,19,14.283839
100000,19,14.139424
100000,19,14.156620
100000,19,14.061679
100000,19,14.148918
100000,20,14.211818
100000,20,14.237494
100000,20,14.242954
100000,20,14.197865
100000,20,14.203986
100000,21,14.362840
100000,21,14.350211
